,Job Title,Rating,Company Name,Founded,Industry,Sector,job_state,age,python_yn,R_yn,spark,aws,excel,Min Salary Estimate,Max Salary Estimate,Avg Salary Estimate,City,State,Min Employees,Max Employees
0,Data Scientist,3.8,Tecolote Research,1973.0,Aerospace & Defense,Aerospace & Defense, NM,47.0,1,0,0,0,1,53000.0,91000.0,72000.0,Albuquerque,NM,501,1000
1,Data Scientist,3.4,University of Maryland Medical System,1984.0,Health Care Services & Hospitals,Health Care, MD,36.0,1,0,0,0,0,63000.0,112000.0,87500.0,Linthicum,MD,10000,15000
2,Data Scientist,4.8,KnowBe4,2010.0,Security Services,Business Services, FL,10.0,1,0,1,0,1,80000.0,90000.0,85000.0,Clearwater,FL,501,1000
3,Data Scientist,3.8,PNNL,1965.0,Energy,"Oil, Gas, Energy & Utilities", WA,55.0,1,0,0,0,0,56000.0,97000.0,76500.0,Richland,WA,1001,5000
4,Data Scientist,2.9,Affinity Solutions,1998.0,Advertising & Marketing,Business Services, NY,22.0,1,0,0,0,1,86000.0,143000.0,114500.0,New York,NY,51,200
5,Data Scientist,3.4,CyrusOne,2000.0,Real Estate,Real Estate, TX,20.0,1,0,0,1,1,71000.0,119000.0,95000.0,Dallas,TX,201,500
6,Data Scientist,4.1,ClearOne Advantage,2008.0,Banks & Credit Unions,Finance, MD,12.0,0,0,0,0,1,54000.0,93000.0,73500.0,Baltimore,MD,501,1000
7,Data Scientist,3.8,Logic20/20,2005.0,Consulting,Business Services, CA,15.0,1,0,1,1,1,86000.0,142000.0,114000.0,San Jose,CA,201,500
8,Other,3.3,Rochester Regional Health,2014.0,Health Care Services & Hospitals,Health Care, NY,6.0,0,0,0,0,0,38000.0,84000.0,61000.0,Rochester,NY,10000,15000
9,Data Scientist,4.6,<intent>,2009.0,Internet,Information Technology, NY,11.0,1,0,1,0,0,120000.0,160000.0,140000.0,New York,NY,51,200
10,Data Scientist,3.5,Wish,2011.0,Other Retail Stores,Retail, CA,9.0,1,0,0,0,0,126000.0,201000.0,163500.0,San Jose,CA,501,1000
11,Data Scientist,4.1,ManTech,1968.0,Research & Development,Business Services, VA,52.0,0,0,0,0,0,64000.0,106000.0,85000.0,Chantilly,VA,5001,10000
